mechanism_id,agent,metric,n_seeds,mean,bootstrap_ci_low,bootstrap_ci_high,available,reason_if_unavailable,inferential_status,source_file,source_column
observation_shift,count_gated_tau_20,branch_correctness,30,0.28837479629379625,0.27142597169548954,0.3049290114325734,True,,locked_primary_agents_descriptive_summary,results/diagnostic_extensions/final_shifts/seed_metrics.csv,branch_correctness
observation_shift,dqn,normalized_return_auc,30,-2.038185625000001,-2.082563963541667,-1.9920819809027785,True,,descriptive_comparator_only,results/diagnostic_extensions/final_shifts/seed_metrics.csv,normalized_return_auc
observation_shift,dqn,success_auc,30,0.23236111111111107,0.21845833333333337,0.24660451388888888,True,,descriptive_comparator_only,results/diagnostic_extensions/final_shifts/seed_metrics.csv,success_auc
observation_shift,dqn,failure_probability,30,0.7681410256410255,0.7536794871794873,0.7822439102564105,True,,descriptive_comparator_only,results/diagnostic_extensions/final_shifts/seed_metrics.csv,failure_probability
observation_shift,dqn,collision_rate,30,0.0,0.0,0.0,True,,descriptive_comparator_only,results/diagnostic_extensions/final_shifts/seed_metrics.csv,collision_rate
observation_shift,dqn,risk_zone_rate,30,0.0,0.0,0.0,True,,descriptive_comparator_only,results/diagnostic_extensions/final_shifts/seed_metrics.csv,risk_zone_rate
observation_shift,dqn,branch_correctness,0,,,,False,not applicable to a single-branch descriptive comparator,descriptive_comparator_only,results/diagnostic_extensions/final_shifts/seed_metrics.csv,branch_correctness
observation_shift,relative_reliability_fuzzy,normalized_return_auc,30,-1.9682227777777785,-2.0219112187500006,-1.909703244791667,True,,locked_primary_agents_descriptive_summary,results/diagnostic_extensions/final_shifts/seed_metrics.csv,normalized_return_auc
observation_shift,relative_reliability_fuzzy,success_auc,30,0.2550347222222222,0.2395482638888889,0.2710835069444444,True,,locked_primary_agents_descriptive_summary,results/diagnostic_extensions/final_shifts/seed_metrics.csv,success_auc
observation_shift,relative_reliability_fuzzy,failure_probability,30,0.7457692307692307,0.7299227564102564,0.7608592948717949,True,,locked_primary_agents_descriptive_summary,results/diagnostic_extensions/final_shifts/seed_metrics.csv,failure_probability
observation_shift,relative_reliability_fuzzy,collision_rate,30,0.0,0.0,0.0,True,,locked_primary_agents_descriptive_summary,results/diagnostic_extensions/final_shifts/seed_metrics.csv,collision_rate
observation_shift,relative_reliability_fuzzy,risk_zone_rate,30,0.0,0.0,0.0,True,,locked_primary_agents_descriptive_summary,results/diagnostic_extensions/final_shifts/seed_metrics.csv,risk_zone_rate
observation_shift,relative_reliability_fuzzy,branch_correctness,0,,,,False,final evaluation rows did not log eligible branch diagnostics for this agent path,locked_primary_agents_descriptive_summary,results/diagnostic_extensions/final_shifts/seed_metrics.csv,branch_correctness
observation_shift,same_input_crisp,normalized_return_auc,30,-1.985026944444445,-2.030006291666667,-1.9395538732638897,True,,locked_primary_agents_descriptive_summary,results/diagnostic_extensions/final_shifts/seed_metrics.csv,normalized_return_auc
observation_shift,same_input_crisp,success_auc,30,0.2458194444444444,0.23167309027777777,0.26013888888888886,True,,locked_primary_agents_descriptive_summary,results/diagnostic_extensions/final_shifts/seed_metrics.csv,success_auc
observation_shift,same_input_crisp,failure_probability,30,0.7552435897435896,0.7412564102564103,0.7691669871794872,True,,locked_primary_agents_descriptive_summary,results/diagnostic_extensions/final_shifts/seed_metrics.csv,failure_probability
observation_shift,same_input_crisp,collision_rate,30,0.0,0.0,0.0,True,,locked_primary_agents_descriptive_summary,results/diagnostic_extensions/final_shifts/seed_metrics.csv,collision_rate
