condition,agent,seed,success_rate,failure_rate,collision_rate,localization_error_mean,exact_support_coverage,approximate_support_coverage,memory_branch_usage_ratio,neural_branch_usage_ratio,seed_lower_tail_return_0_10,seed_minimum_return,evaluation_episode_rows,source_file
combined_executed_condition,fuzzy_relative_reliability,15002,0.0,1.0,0.0,0.034892434766516045,0.0,0.0,0.0,1.0,-1.1052895222976804,-1.1052895222976804,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
combined_executed_condition,fuzzy_relative_reliability,15003,0.0,1.0,0.0,0.03366859704256055,0.0,0.0,0.0,1.0,-1.145184371843934,-1.145184371843934,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
combined_executed_condition,selected_approximate_support,15002,0.0,1.0,0.0,0.034892434766516045,0.0,1.0,0.4697547897142923,0.5302452102857077,-1.1052895222976804,-1.1052895222976804,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
combined_executed_condition,selected_approximate_support,15003,0.0,1.0,0.0,0.03366859704256055,0.0,0.7625,0.44935951915299027,0.5506404808470098,-1.145184371843934,-1.145184371843934,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
combined_executed_condition,sensorized_controller,15002,0.0,1.0,0.0,0.035488897503819276,0.0,0.0,0.0,0.0,-0.9296508235158398,-0.9296508235158398,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
combined_executed_condition,sensorized_controller,15003,0.0,1.0,0.0,0.0332159157842397,0.0,0.0,0.0,0.0,-0.9481175438128412,-0.9481175438128412,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
latency_only,dqn,15002,0.0,1.0,0.0,0.003668220281269875,0.0,0.0,0.0,1.0,-1.0928309639543294,-1.0928309639543294,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
latency_only,dqn,15003,0.0,1.0,0.0,0.003803022297734,0.0,0.0,0.0,1.0,-1.2032396277971569,-1.2032396277971569,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
latency_only,fuzzy_relative_reliability,15002,0.0,1.0,0.0,0.003668220281269875,0.0,0.2125,0.0,1.0,-1.0928309639543294,-1.0928309639543294,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
latency_only,fuzzy_relative_reliability,15003,0.0,1.0,0.0,0.003803022297734,0.0,0.125,0.0,1.0,-1.2032396277971569,-1.2032396277971569,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
latency_only,selected_approximate_support,15002,0.0,1.0,0.0,0.0035295093382046003,0.0,1.0,0.525170044871516,0.474829955128484,-1.079657435519621,-1.079657435519621,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
latency_only,selected_approximate_support,15003,0.0,1.0,0.0,0.00377224133576415,0.0,1.0,0.5277723842871177,0.4722276157128822,-1.2032396277971569,-1.2032396277971569,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
latency_only,sensorized_controller,15002,0.0,1.0,0.0,0.0043307104920131,0.0,0.0,0.0,0.0,-0.9256691071018576,-0.9256691071018576,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
latency_only,sensorized_controller,15003,0.0,1.0,0.0,0.004339760415950825,0.0,0.0,0.0,0.0,-0.9473391939699648,-0.9473391939699648,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
localization_dropout_only,dqn,15002,0.0,1.0,0.0,0.00015996130096027335,0.0,0.0,0.0,1.0,-1.0873790934495629,-1.0873790934495629,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
localization_dropout_only,dqn,15003,0.0,1.0,0.0,4.549584191407552e-05,0.0,0.0,0.0,1.0,-1.1973680401593445,-1.1973680401593445,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
localization_dropout_only,fuzzy_relative_reliability,15002,0.0,1.0,0.0,0.00015996130096027335,0.0,0.2125,0.0,1.0,-1.0873790934495629,-1.0873790934495629,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
localization_dropout_only,fuzzy_relative_reliability,15003,0.0,1.0,0.0,4.549584191407552e-05,0.0,0.1,0.0,1.0,-1.1973680401593445,-1.1973680401593445,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
localization_dropout_only,selected_approximate_support,15002,0.0,1.0,0.0,0.0001384886156301805,0.0,1.0,0.5017538957109845,0.49824610428901556,-1.0809704318083824,-1.0809704318083824,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
localization_dropout_only,selected_approximate_support,15003,0.0,1.0,0.0,4.549584191407552e-05,0.0,1.0,0.5141447377620256,0.4858552622379743,-1.1973680401593445,-1.1973680401593445,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
localization_dropout_only,sensorized_controller,15002,0.0,1.0,0.0,0.00015722579410064607,0.0,0.0,0.0,0.0,-0.9454477936401964,-0.9454477936401964,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
localization_dropout_only,sensorized_controller,15003,0.0,1.0,0.0,4.937881312797977e-05,0.0,0.0,0.0,0.0,-0.9665102467220276,-0.9665102467220276,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
no_noise_no_delay_no_dropout,dqn,15002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.092377481814474,-1.092377481814474,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
no_noise_no_delay_no_dropout,dqn,15003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.2026792104542254,-1.2026792104542254,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
no_noise_no_delay_no_dropout,fuzzy_relative_reliability,15002,0.0,1.0,0.0,0.0,0.0,0.2125,0.0,1.0,-1.092377481814474,-1.092377481814474,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
no_noise_no_delay_no_dropout,fuzzy_relative_reliability,15003,0.0,1.0,0.0,0.0,0.0,0.1,0.0,1.0,-1.2026792104542254,-1.2026792104542254,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
no_noise_no_delay_no_dropout,selected_approximate_support,15002,0.0,1.0,0.0,0.0,0.0,1.0,0.5156177918052307,0.48438220819476924,-1.0799382017739116,-1.0799382017739116,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
no_noise_no_delay_no_dropout,selected_approximate_support,15003,0.0,1.0,0.0,0.0,0.0,1.0,0.5165504432496246,0.4834495567503753,-1.2026792104542254,-1.2026792104542254,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
no_noise_no_delay_no_dropout,sensorized_controller,15002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9450645372457802,-0.9450645372457802,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
no_noise_no_delay_no_dropout,sensorized_controller,15003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9665102467220276,-0.9665102467220276,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
noise_only,dqn,15002,0.0,1.0,0.0,0.033667136711301254,0.0,0.0,0.0,1.0,-1.0977691059187056,-1.0977691059187056,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
noise_only,dqn,15003,0.0,1.0,0.0,0.03155827788868915,0.0,0.0,0.0,1.0,-1.201528521552682,-1.201528521552682,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
noise_only,fuzzy_relative_reliability,15002,0.0,1.0,0.0,0.033667136711301254,0.0,0.0,0.0,1.0,-1.0977691059187056,-1.0977691059187056,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
noise_only,fuzzy_relative_reliability,15003,0.0,1.0,0.0,0.03155827788868915,0.0,0.0,0.0,1.0,-1.201528521552682,-1.201528521552682,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
noise_only,selected_approximate_support,15002,0.0,1.0,0.0,0.03366713729337785,0.0,1.0,0.5091710358626637,0.4908289641373363,-1.1034346395032482,-1.1034346395032482,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
noise_only,selected_approximate_support,15003,0.0,1.0,0.0,0.031558277900330674,0.0,1.0,0.5069877729197352,0.4930122270802648,-1.201528521552682,-1.201528521552682,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
noise_only,sensorized_controller,15002,0.0,1.0,0.0,0.03366713644936677,0.0,0.0,0.0,0.0,-0.9480573602439836,-0.9480573602439836,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
noise_only,sensorized_controller,15003,0.0,1.0,0.0,0.031558278121519776,0.0,0.0,0.0,0.0,-0.9497397202253344,-0.9497397202253344,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
range_dropout_only,dqn,15002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.1141097559873014,-1.1141097559873014,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
range_dropout_only,dqn,15003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.1844252278096976,-1.1844252278096976,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
range_dropout_only,fuzzy_relative_reliability,15002,0.0,1.0,0.0,0.0,0.0,0.175,0.0,1.0,-1.1141097559873014,-1.1141097559873014,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
range_dropout_only,fuzzy_relative_reliability,15003,0.0,1.0,0.0,0.0,0.0,0.1,0.0,1.0,-1.1844252278096976,-1.1844252278096976,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
range_dropout_only,selected_approximate_support,15002,0.0,1.0,0.0,0.0,0.0,1.0,0.4899374599798494,0.5100625400201506,-1.0794103550352157,-1.0794103550352157,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
range_dropout_only,selected_approximate_support,15003,0.0,1.0,0.0,0.0,0.0,1.0,0.4928189652096384,0.5071810347903615,-1.1844252278096976,-1.1844252278096976,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
range_dropout_only,sensorized_controller,15002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9450645372457802,-0.9450645372457802,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
range_dropout_only,sensorized_controller,15003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9665102467220276,-0.9665102467220276,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
visibility_occlusion_only,dqn,15002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.092377481814474,-1.092377481814474,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
visibility_occlusion_only,dqn,15003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.2026792104542254,-1.2026792104542254,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
visibility_occlusion_only,fuzzy_relative_reliability,15002,0.0,1.0,0.0,0.0,0.0,0.2125,0.0,1.0,-1.092377481814474,-1.092377481814474,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
visibility_occlusion_only,fuzzy_relative_reliability,15003,0.0,1.0,0.0,0.0,0.0,0.1,0.0,1.0,-1.2026792104542254,-1.2026792104542254,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
visibility_occlusion_only,selected_approximate_support,15002,0.0,1.0,0.0,0.0,0.0,1.0,0.5398794394881203,0.4601205605118797,-1.092377481814474,-1.092377481814474,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
visibility_occlusion_only,selected_approximate_support,15003,0.0,1.0,0.0,0.0,0.0,0.75,0.5002225641981302,0.49977743580186973,-1.2026792104542254,-1.2026792104542254,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
visibility_occlusion_only,sensorized_controller,15002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9450645372457802,-0.9450645372457802,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
visibility_occlusion_only,sensorized_controller,15003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9665102467220276,-0.9665102467220276,4,results/reviewer1_remaining/sensor_factorial_development/raw.csv
