condition,agent,delta_success_rate_vs_baseline,delta_failure_rate_vs_baseline,delta_collision_rate_vs_baseline,delta_localization_error_mean_vs_baseline,delta_exact_support_coverage_vs_baseline,delta_approximate_support_coverage_vs_baseline,delta_memory_branch_usage_ratio_vs_baseline,delta_neural_branch_usage_ratio_vs_baseline,delta_episode_lower_tail_return_0_10_vs_baseline,delta_fragmentation_rate_vs_baseline,delta_aliasing_rate_vs_baseline,delta_effective_latency_mean_vs_baseline,delta_localization_dropout_rate_vs_baseline,delta_range_dropout_rate_vs_baseline,delta_camera_dropout_rate_vs_baseline,delta_target_visibility_rate_vs_baseline
range_dropout_only,sensorized_controller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01607717041800638,0.0,0.0,0.0,0.19375,0.0,0.0
camera_dropout_only,dqn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007516982027001795,0.0,0.0,0.0,0.0,0.06875,-0.06875000000000009
camera_dropout_only,fuzzy_relative_reliability,0.0,0.0,0.0,0.0,0.0,-0.006249999999999978,0.0,0.0,0.0,0.005018186999228957,0.0,0.0,0.0,0.0,0.06875,-0.06875000000000009
camera_dropout_only,selected_approximate_support,0.0,0.0,0.0,0.0,0.0,-0.012499999999999956,-0.010997329236972275,0.010997329236972442,0.028077488429844255,0.00574550065844015,0.0,0.0,0.0,0.0,0.06875,-0.06875000000000009
camera_dropout_only,sensorized_controller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009646302250803762,0.0,0.0,0.0,0.0,0.06875,-0.06875000000000009
visibility_occlusion_only,dqn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011505623955640143,0.0,0.0,0.0,0.0,0.0,-0.68125
visibility_occlusion_only,fuzzy_relative_reliability,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005950206388598445,0.0,0.0,0.0,0.0,0.0,-0.68125
visibility_occlusion_only,selected_approximate_support,0.0,0.0,0.0,0.0,0.0,-0.125,0.003966884315697583,-0.0039668843156975275,0.0,-0.014703687117480269,0.0,0.0,0.0,0.0,0.0,-0.68125
visibility_occlusion_only,sensorized_controller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002143622722400762,0.0,0.0,0.0,0.0,0.0,-0.6625
combined_executed_condition,dqn,0.0,0.0,0.0,0.034280515904538296,0.0,0.0,0.0,0.0,0.057494838610291366,0.05668016194331982,0.0,0.031666666666666635,0.04375,0.19375,0.0625,-0.7
combined_executed_condition,fuzzy_relative_reliability,0.0,0.0,0.0,0.034280515904538296,0.0,-0.15625,0.0,0.0,0.057494838610291366,0.05112474437627812,0.0,0.031666666666666635,0.04375,0.19375,0.0625,-0.7
combined_executed_condition,selected_approximate_support,0.0,0.0,0.0,0.034280515904538296,0.0,-0.11875000000000002,-0.05652696309378635,0.05652696309378652,0.057494838610291366,0.039408866995073843,0.0,0.031666666666666635,0.04375,0.19375,0.0625,-0.7
combined_executed_condition,sensorized_controller,0.0,0.0,0.0,0.034352406644029485,0.0,0.0,0.0,0.0,0.018392702909186376,0.04608788853161838,0.0,0.031666666666666635,0.04375,0.19375,0.0625,-0.70625
