environment,agent,seed,checkpoint,mean_return,success_rate,mean_length,elapsed_seconds,environment_steps,gradient_updates,training_elapsed_seconds,evaluation_elapsed_seconds,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,failure_rate,collision_rate,risk_zone_rate,unsupported_state_ratio,memory_branch_usage_ratio,neural_branch_usage_ratio,abstention_ratio,adaptive_alpha_mean,adaptive_alpha_iqr,support_score_mean,uncertainty_score_mean,inference_time_us_per_decision_mean,inference_time_us_per_decision_median,memory_cost_states,memory_cost_entries,memory_cost_bytes_estimated,eval_checkpoint,eval_return,train_steps,seconds_per_1000_steps,return_auc,success_rate_auc,experiment_name,config_file,environment_id,resolved_environment_id,observation_representation,git_commit_hash,package_version,python_version,torch_version,numpy_version,gymnasium_version,minigrid_version,idle_rate,risk_adjusted_score
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,620,12000,-1.037000000000001,0.4333333333333333,77.86666666666666,21.419273400002567,12000,719,12.294957999991311,9.124315400011255,0.6448991147313627,0.0,0.56524944,2.361048462976918,198.0,0.5666666666666667,0.0563888888888888,0.0119934640522875,0.3333333333333333,0.5104999697972842,0.4895000302027158,0.0,0.5104999697972842,0.0205316912094927,0.6119932249850453,0.4764759116906167,512.2151761957088,463.025,198.0,990.0,5544.0,12000,-1.037000000000001,12000,1.0245798333326093,-2.9670666666666663,0.29,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,621,12000,-1.0766666666666656,0.7333333333333333,38.43333333333333,21.71073679999972,12000,719,12.527076700011094,9.183660099988629,0.649170014221238,0.0,1.1106555,3.421246942120427,200.0,0.2666666666666666,0.1475,0.0005555555555555,0.3333333333333333,0.528779557923817,0.471220442076183,0.0,0.528779557923817,0.0164143038222016,0.6162371027411438,0.5678853641954469,444.6952616959064,416.3250000000001,200.0,1000.0,5600.0,12000,-1.0766666666666656,12000,1.0439230583342578,-2.530766666666667,0.27,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,622,12000,-9.048333333333334,0.5666666666666667,55.93333333333333,22.39064099999814,12000,719,12.771614899997076,9.619026100001063,0.6593225730206971,0.0,0.09454639,0.813708951488166,192.0,0.4333333333333333,0.3902777777777778,0.0002777777777777,0.4666666666666667,0.3975284778791241,0.6024715221208758,0.0,0.3975284778791241,0.0196106300862982,0.4869652043976695,0.3587963078539774,655.4656666666667,478.425,192.0,960.0,5376.0,12000,-9.048333333333334,12000,1.064301241666423,-3.2560000000000007,0.28,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,623,12000,-1.8953333333333335,0.5666666666666667,57.43333333333333,21.959002299998247,12000,719,12.547099099996558,9.411903200001689,0.6382458571574687,0.0,0.24483302,1.0168327800329056,199.0,0.4333333333333333,0.1294444444444444,0.020530303030303,0.3,0.5349905813336603,0.4650094186663397,0.0,0.5349905813336603,0.0140567179059564,0.6609399933325043,0.3387217528651094,555.6196405440965,466.1,199.0,995.0,5572.0,12000,-1.8953333333333335,12000,1.0455915916663798,-3.807133333333333,0.2633333333333333,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,624,12000,-2.3600000000000003,0.4333333333333333,71.5,21.63937920000172,12000,719,12.57041880001634,9.068960399985372,0.6443864662529644,0.0,0.14565545,0.8401807079739334,196.0,0.5666666666666667,0.1122222222222222,0.0086111111111111,0.4027777777777778,0.4332342180987234,0.5667657819012766,0.0,0.4332342180987234,0.0358642150204042,0.5218183133969763,0.3767467398487543,586.7282281323877,465.1,196.0,980.0,5488.0,12000,-2.3600000000000003,12000,1.0475349000013616,-3.7234,0.2599999999999999,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,625,12000,-0.4389999999999995,0.8333333333333334,25.0,20.436099600003217,12000,719,12.678843700006835,7.75725589999638,0.6642242775103422,0.0,0.58096766,2.59187712345896,196.0,0.1666666666666666,0.1552777777777777,0.0086111111111111,0.2333333333333333,0.6152583767006423,0.3847416232993577,0.0,0.6152583767006423,0.0278724796138691,0.7398810504438529,0.4645908918407561,484.5938611111111,463.975,196.0,980.0,5488.0,12000,-0.4389999999999995,12000,1.0565703083339029,-1.4580666666666668,0.42,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,626,12000,-3.272,0.7666666666666667,35.233333333333334,20.57180750000407,12000,719,12.555005299989716,8.016802200014354,0.6628539819939945,0.0,0.3008212,2.1763829631938973,198.0,0.2333333333333333,0.2417791842475386,0.0716414141414141,0.2523206751054852,0.5973225219503495,0.4026774780496505,0.0,0.5973225219503495,0.0388665178494038,0.7212499412427072,0.4512898407287241,485.1202053445851,459.625,198.0,990.0,5544.0,12000,-3.272,12000,1.0462504416658096,-3.922233333333333,0.4,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,627,12000,-10.215333333333332,0.5333333333333333,61.3,20.21522229999391,12000,719,12.647422099988034,7.567800200005877,0.655289845242627,0.0,0.29999384,2.553895079155628,199.0,0.4666666666666667,0.4256481481481481,0.0169841269841269,0.5,0.3979163080034828,0.6020836919965172,0.0,0.3979163080034828,0.0204194037020552,0.476252408490752,0.5573994147462856,489.905395909646,457.025,199.0,995.0,5572.0,12000,-10.215333333333332,12000,1.0539518416656697,-2.5451,0.4433333333333334,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,628,12000,-8.754,0.4,80.16666666666667,21.873181200004183,12000,719,12.809766400008812,9.063414799995371,0.6439667822459514,0.0,0.0041293195,0.0405982069643642,199.0,0.6,0.3399474157479084,0.0201490829323341,0.4333333333333333,0.4153122595037637,0.5846877404962362,0.0,0.4153122595037637,0.0219147642529238,0.5296106719087944,0.1030728770104447,486.2096272435349,455.6,199.0,995.0,5572.0,12000,-8.754,12000,1.0674805333340676,-1.7577333333333336,0.3033333333333333,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,629,12000,0.2430000000000004,0.5,65.6,22.43563559999893,12000,719,12.578751499997452,9.85688410000148,0.6446219427809815,0.0,0.13829315,0.4499131963555053,196.0,0.5,0.0219444444444444,0.0407777777777777,0.5,0.3855991821285531,0.6144008178714468,0.0,0.3855991821285531,0.0170514938941812,0.4739671440085311,0.2965305447984143,533.3326611111111,476.8250000000001,196.0,980.0,5488.0,12000,0.2430000000000004,12000,1.0482292916664544,-3.6138333333333335,0.2,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,
