result_family,environment,agent,aggregation_level,source_file,source_column,n_episode_rows,n_finite_returns,nonfinite_returns_dropped,n_seeds,final_checkpoint_min,final_checkpoint_max,mean_return,minimum_return,return_quantile_0_05,worst_decile_mean_return,cvar_0_10_return,cvar_0_10_tail_count,cvar_0_05_return,cvar_0_05_tail_count,cvar_0_05_available,cvar_0_05_reason
confirmatory_extended_compact,CliffWalking-v1,support_abstain_tau_20,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,10000,10000,-13.2,-17,-15,-15,-15,90,-16.3333333333,45,True,
confirmatory_extended_compact,CliffWalking-v1,tabular,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,10000,10000,-13,-13,-13,-13,-13,90,-13,45,True,
confirmatory_extended_compact,CliffWalking-v1,validated_dqn,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,10000,10000,-500,-500,-500,-500,-500,90,-500,45,True,
confirmatory_extended_compact,FourRooms-11-slip-unseen-goals,count_gated_tau_20,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,16000,16000,-3.17228888889,-4.33,-4.24,-4.24933333333,-4.24933333333,90,-4.26755555556,45,True,
confirmatory_extended_compact,FourRooms-11-slip-unseen-goals,fixed_hybrid,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,16000,16000,-3.0441,-4.31,-4.24,-4.24288888889,-4.24288888889,90,-4.262,45,True,
confirmatory_extended_compact,FourRooms-11-slip-unseen-goals,random,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,16000,16000,-1.6936,-2.93,-2.75,-2.76366666667,-2.76366666667,90,-2.79777777778,45,True,
confirmatory_extended_compact,FourRooms-11-slip-unseen-goals,reliability_gated,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,16000,16000,-3.0269,-4.31,-4.24,-4.24244444444,-4.24244444444,90,-4.26266666667,45,True,
confirmatory_extended_compact,FourRooms-11-slip-unseen-goals,support_abstain_tau_20,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,16000,16000,-1.68511111111,-2.87,-2.76,-2.76688888889,-2.76688888889,90,-2.79622222222,45,True,
confirmatory_extended_compact,FourRooms-11-slip-unseen-goals,tabular,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,16000,16000,-1.65867777778,-2.83,-2.74,-2.74644444444,-2.74644444444,90,-2.77533333333,45,True,
confirmatory_extended_compact,FourRooms-11-slip-unseen-goals,validated_dqn,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,16000,16000,-3.10976666667,-4.32,-4.24,-4.25144444444,-4.25144444444,90,-4.27222222222,45,True,
