result_family,environment,agent,checkpoint,aggregation_level,source_file,source_column,n_seeds,n_finite_returns,nonfinite_returns_dropped,mean_return,minimum_return,return_quantile_0_05,worst_decile_mean_return,cvar_0_10_return,cvar_0_10_tail_count,cvar_0_05_return,cvar_0_05_tail_count,cvar_0_05_available,cvar_0_05_reason
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,tabular,10000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,0.645555555556,0,0.381666666667,0.255555555556,0.255555555556,3,0.183333333333,2,True,
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,validated_dqn,2000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,0.124444444444,0,0,0,0,3,0,2,True,
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,validated_dqn,4000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,0.112222222222,0,0,0,0,3,0,2,True,
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,validated_dqn,6000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,0.251111111111,0,0,0,0,3,0,2,True,
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,validated_dqn,8000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,0.306666666667,0,0.015,0.0111111111111,0.0111111111111,3,0,2,True,
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,validated_dqn,10000,seed_at_checkpoint,results/adaptive_gate_compact_validation/raw.csv.gz,return,30,30,0,0.247777777778,0,0,0,0,3,0,2,True,
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,count_gated_tau_20,2000,seed_at_checkpoint,results/application_navigation_case_study/raw.csv.gz,return,30,30,0,-4.57545555556,-15.722,-9.69708333333,-11.6614444444,-11.6614444444,3,-13.0061666667,2,True,
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,count_gated_tau_20,4000,seed_at_checkpoint,results/application_navigation_case_study/raw.csv.gz,return,30,30,0,-2.94052222222,-9.71,-5.93545,-7.17344444444,-7.17344444444,3,-7.959,2,True,
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,count_gated_tau_20,6000,seed_at_checkpoint,results/application_navigation_case_study/raw.csv.gz,return,30,30,0,-2.89262222222,-9.17733333333,-6.3202,-7.25466666667,-7.25466666667,3,-7.86966666667,2,True,
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,count_gated_tau_20,8000,seed_at_checkpoint,results/application_navigation_case_study/raw.csv.gz,return,30,30,0,-3.56517777778,-12.7613333333,-9.4212,-10.4984444444,-10.4984444444,3,-11.3351666667,2,True,
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,count_gated_tau_20,10000,seed_at_checkpoint,results/application_navigation_case_study/raw.csv.gz,return,30,30,0,-4.10437777778,-13.7916666667,-11.7966833333,-12.4235555556,-12.4235555556,3,-13.0515,2,True,
