result_family,environment,agent,aggregation_level,source_file,source_column,n_seed_rows,n_finite_returns,nonfinite_returns_dropped,mean_return,minimum_return,return_quantile_0_05,worst_decile_mean_return,cvar_0_10_return,cvar_0_10_tail_count,cvar_0_05_return,cvar_0_05_tail_count,cvar_0_05_available,cvar_0_05_reason,failure_probability,failure_probability_n,failure_probability_reason,collision_rate,collision_rate_n,collision_rate_reason,risk_zone_rate,risk_zone_rate_n,risk_zone_rate_reason,motor_saturation_rate,motor_saturation_rate_n,motor_saturation_rate_reason
confirmatory_extended_compact,FourRooms-11-slip-unseen-goals,random,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,-1.6936,-2.14933333333,-2.08866666667,-2.10577777778,-2.10577777778,3,-2.14,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FourRooms-11-slip-unseen-goals,reliability_gated,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,-3.0269,-3.91766666667,-3.79096666667,-3.825,-3.825,3,-3.90966666667,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FourRooms-11-slip-unseen-goals,support_abstain_tau_20,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,-1.68511111111,-2.39766666667,-2.08148333333,-2.17933333333,-2.17933333333,3,-2.2905,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FourRooms-11-slip-unseen-goals,tabular,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,-1.65867777778,-2.25466666667,-2.14611666667,-2.18211111111,-2.18211111111,3,-2.20166666667,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FourRooms-11-slip-unseen-goals,validated_dqn,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,-3.10976666667,-3.84566666667,-3.82261666667,-3.82955555556,-3.82955555556,3,-3.83916666667,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FourRooms-7-unseen-goals,count_gated_tau_20,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,-1.60935555556,-1.99,-1.88685,-1.921,-1.921,3,-1.94,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FourRooms-7-unseen-goals,fixed_hybrid,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,-1.67681111111,-1.98366666667,-1.91616666667,-1.93855555556,-1.93855555556,3,-1.95066666667,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FourRooms-7-unseen-goals,random,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,-0.507722222222,-0.778666666667,-0.74395,-0.755,-0.755,3,-0.764833333333,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FourRooms-7-unseen-goals,reliability_gated,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,-1.61974444444,-1.98566666667,-1.8841,-1.91788888889,-1.91788888889,3,-1.93533333333,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FourRooms-7-unseen-goals,support_abstain_tau_20,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,-0.509411111111,-0.829,-0.791466666667,-0.803222222222,-0.803222222222,3,-0.815333333333,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FourRooms-7-unseen-goals,tabular,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,-0.508444444444,-0.932333333333,-0.746533333333,-0.808333333333,-0.808333333333,3,-0.840333333333,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FourRooms-7-unseen-goals,validated_dqn,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,-1.57733333333,-1.94933333333,-1.91923333333,-1.92911111111,-1.92911111111,3,-1.93533333333,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FourRooms-9-slip-unseen-goals,count_gated_tau_20,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,-2.07556666667,-2.96066666667,-2.74006666667,-2.808,-2.808,3,-2.88816666667,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
