environment,candidate_id,estimator_family,estimator_type,representation,slot_id,k,h,tau_approx,regularization,requested_index,effective_index,seed,return_auc,failure_probability,median_query_latency_seconds,checkpoint_first,checkpoint_last,checkpoint_count,evaluation_episodes_per_checkpoint,source_row_count,execution_source_commit,source_snapshot_sha256,source_file
ApplicationNavigation-support-estimator-development,frozen_embedding_s4,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s4,9,2.0,2.0,0.1,auto,auto,13000,-6.0679333333333325,0.8125,0.0015546,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
ApplicationNavigation-support-estimator-development,frozen_embedding_s4,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s4,9,2.0,2.0,0.1,auto,auto,13001,-6.143066666666667,0.8375,0.0013127999999999998,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
ApplicationNavigation-support-estimator-development,frozen_embedding_s4,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s4,9,2.0,2.0,0.1,auto,auto,13002,-4.835966666666667,0.86875,0.0013551499999999998,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
ApplicationNavigation-support-estimator-development,frozen_embedding_s4,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s4,9,2.0,2.0,0.1,auto,auto,13003,-5.521699999999999,0.74375,0.00150385,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
ApplicationNavigation-support-estimator-development,frozen_embedding_s4,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s4,9,2.0,2.0,0.1,auto,auto,13004,-4.673266666666667,0.8375,0.00127625,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,frozen_embedding_s4,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s4,9,2.0,2.0,0.1,auto,auto,13000,-1.9061000000000006,0.74375,0.0044816000000000005,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,frozen_embedding_s4,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s4,9,2.0,2.0,0.1,auto,auto,13001,-1.9082000000000008,0.7625,0.0042933,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,frozen_embedding_s4,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s4,9,2.0,2.0,0.1,auto,auto,13002,-1.952500000000001,0.7625,0.004553150000000001,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,frozen_embedding_s4,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s4,9,2.0,2.0,0.1,auto,auto,13003,-1.9893000000000007,0.75,0.005237250000000001,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,frozen_embedding_s4,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s4,9,2.0,2.0,0.1,auto,auto,13004,-1.9347666666666672,0.73125,0.00489065,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
