family,agent,seed,checkpoint,episode,sample_count,post_onset_sample_count,perturbation_onset_timestamp,trajectory_deviation_rmse_m,maximum_trajectory_deviation_m,recovered,recovery_time_seconds,censor_time_seconds,saturation_duration_seconds,constraint_violation_duration_seconds,near_miss_duration_seconds,saturation_sample_count,constraint_violation_sample_count,near_miss_sample_count,recovery_band_m,required_dwell_steps,non_recovery_rule,source_file
combined_executed_condition_safety_trace,feed_forward_dqn,16033,240,4,30,25,0.1,0.5201846955200256,0.8037317430537861,False,,0.4,0.0,0.499999999999998,0.0,0,30,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16033.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16034,120,1,30,25,0.1,0.5345216482753828,0.8358591941477188,False,,0.4,0.0,0.499999999999998,0.0166666666666666,0,30,1,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16034.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16034,120,2,30,25,0.1,0.6045766372212221,0.9701255027772683,False,,0.4,0.0,0.3833333333333318,0.0166666666666666,0,23,1,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16034.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16034,120,3,30,25,0.1,0.5935598763698335,0.9520060043172411,False,,0.4,0.0,0.2833333333333322,0.0166666666666666,0,17,1,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16034.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16034,120,4,30,25,0.1,0.6017475232651739,0.9615181989998124,False,,0.4,0.0,0.499999999999998,0.0666666666666664,0,30,4,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16034.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16034,240,1,30,25,0.1,0.5513442811838118,0.8469284864789735,False,,0.4,0.0,0.2999999999999988,0.0,0,18,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16034.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16034,240,2,30,25,0.1,0.5560788092477014,0.8477542764667367,False,,0.4,0.0,0.499999999999998,0.0,0,30,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16034.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16034,240,3,30,25,0.1,0.5716825183586498,0.8918975301407528,False,,0.4,0.0,0.0499999999999998,0.0,0,3,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16034.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16034,240,4,30,25,0.1,0.5652710378325541,0.8806441812785126,False,,0.4,0.0,0.499999999999998,0.0,0,30,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16034.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16035,120,1,30,25,0.1,0.5264434337856446,0.8277026998648772,False,,0.4,0.0,0.499999999999998,0.0,0,30,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16035.trace.csv.gz
