environment,metric,left,right,n_pairs,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,paired_t_p,wilcoxon_p,sign_test_p,wins,losses,ties,win_rate_non_ties,paired_t_holm_p,wilcoxon_holm_p,sign_test_holm_p
CliffWalking-v1,return_auc,count_gated_tau_10,count_gated_tau_50,5,24.25,0.0,-48.8,97.3,0.2383432674827623,0.16666666666666666,0.6223001972808306,1.0,1.0,2,1,2,0.6666666666666666,1.0,1.0,1.0
CliffWalking-v1,return_auc,count_gated_tau_100,count_gated_tau_20,5,-24.589999999999996,0.0,-97.4,48.220000000000006,-0.2424246416712923,-0.6666666666666666,0.6165506810930423,0.5,1.0,1,2,2,0.3333333333333333,1.0,1.0,1.0
CliffWalking-v1,return_auc,count_gated_tau_100,count_gated_tau_5,5,-48.94,-121.75,-121.75,47.980000000000004,-0.4513625599588075,-0.8,0.36993641324668564,0.25,0.625,1,3,1,0.25,1.0,1.0,1.0
CliffWalking-v1,return_auc,count_gated_tau_100,count_gated_tau_50,5,-0.23999999999999772,0.0,-73.05,72.33000000000001,-0.002801558047961658,-0.3333333333333333,0.995301682733607,1.0,1.0,1,1,3,0.5,1.0,1.0,1.0
CliffWalking-v1,return_auc,count_gated_tau_20,count_gated_tau_5,5,-24.35,0.0,-97.4,48.7,-0.23904572186687872,-0.3333333333333333,0.6213082950374971,1.0,1.0,1,2,2,0.3333333333333333,1.0,1.0,1.0
CliffWalking-v1,return_auc,count_gated_tau_20,count_gated_tau_50,5,24.35,0.0,-48.7,97.4,0.23904572186687872,0.3333333333333333,0.621308295037497,1.0,1.0,2,1,2,0.6666666666666666,1.0,1.0,1.0
CliffWalking-v1,return_auc,count_gated_tau_5,count_gated_tau_50,5,48.7,0.0,0.0,97.4,0.7302967433402215,1.0,0.17780780835622137,0.5,0.5,2,0,3,1.0,1.0,1.0,1.0
FourRooms-7-unseen-goals,mean_return,count_gated_tau_1,count_gated_tau_10,5,0.029500000000000037,0.19250000000000012,-0.2043,0.23650000000000007,0.1050195366653284,-0.06666666666666667,0.8258714354665563,1.0,1.0,3,2,0,0.6,1.0,1.0,1.0
FourRooms-7-unseen-goals,mean_return,count_gated_tau_1,count_gated_tau_100,5,0.0370000000000001,0.08950000000000036,-0.15609999999999996,0.21150000000000016,0.15853768224064538,0.06666666666666667,0.7408630830091326,1.0,1.0,3,2,0,0.6,1.0,1.0,1.0
FourRooms-7-unseen-goals,mean_return,count_gated_tau_1,count_gated_tau_20,5,-0.08779999999999996,-0.053999999999999826,-0.2525,0.06969999999999996,-0.41652466154694867,-0.4666666666666667,0.40438175332125526,0.4375,1.0,2,3,0,0.4,1.0,1.0,1.0
FourRooms-7-unseen-goals,mean_return,count_gated_tau_1,count_gated_tau_5,5,0.03850000000000007,-0.046499999999999986,-0.08950000000000014,0.1781000000000002,0.22417799016960402,0.2,0.6425070706952707,0.8125,1.0,2,3,0,0.4,1.0,1.0,1.0
FourRooms-7-unseen-goals,mean_return,count_gated_tau_1,count_gated_tau_50,5,-0.0971,-0.19100000000000006,-0.31370000000000015,0.12160000000000015,-0.34496683824837737,-0.4666666666666667,0.4835264653241348,0.4375,1.0,2,3,0,0.4,1.0,1.0,1.0
FourRooms-7-unseen-goals,mean_return,count_gated_tau_10,count_gated_tau_100,5,0.007500000000000062,-0.0044999999999999485,-0.05369999999999982,0.0629999999999999,0.09780863919266472,0.06666666666666667,0.8375842430848182,1.0,1.0,2,3,0,0.4,1.0,1.0,1.0
FourRooms-7-unseen-goals,mean_return,count_gated_tau_10,count_gated_tau_20,5,-0.1173,-0.10000000000000009,-0.19740000000000002,-0.03719999999999999,-1.1368902701023327,-1.0,0.06383404046232269,0.0625,0.0625,0,5,0,0.0,0.8936765664725177,0.9375,0.9375
FourRooms-7-unseen-goals,mean_return,count_gated_tau_10,count_gated_tau_5,5,0.00900000000000003,0.0535000000000001,-0.2263000000000001,0.20450000000000007,0.0324669969174951,0.2,0.9456108945626268,0.8125,1.0,3,2,0,0.6,1.0,1.0,1.0
FourRooms-7-unseen-goals,mean_return,count_gated_tau_10,count_gated_tau_50,5,-0.12660000000000005,-0.05049999999999999,-0.37480000000000013,0.07150000000000008,-0.43737178493873896,-0.3333333333333333,0.3834533647301046,0.625,1.0,2,3,0,0.4,1.0,1.0,1.0
