environment,agent,seed,checkpoint,mean_return,success_rate,mean_length,elapsed_seconds,environment_steps,gradient_updates,training_elapsed_seconds,evaluation_elapsed_seconds,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,seconds_per_1000_steps,return_auc
FourRooms-7-unseen-goals,count_gated_tau_1,4,8000,-1.2930000000000008,0.2,80.35,11.49564650002867,8000,485,8.487897899991367,3.007748600037303,0.7623490712538191,0.0,1.0,1.0,833.0,1.0609872374989209,-1.7120833333333343
FourRooms-7-unseen-goals,count_gated_tau_10,0,8000,-1.984000000000001,0.0,100.0,11.846886699961033,8000,485,8.733646099979524,3.113240599981509,0.418531243126586,0.0,1.0,1.0,805.0,1.0917057624974404,-1.8007500000000012
FourRooms-7-unseen-goals,count_gated_tau_10,1,8000,-1.688000000000001,0.05,95.05,11.842500600032508,8000,485,8.816369199950714,3.0261314000817947,0.4042875982888422,0.0,1.0,1.0,850.0,1.1020461499938392,-1.5308333333333342
FourRooms-7-unseen-goals,count_gated_tau_10,2,8000,-1.594000000000001,0.0,100.0,11.918335099995602,8000,485,8.737076000019442,3.18125909997616,0.422560193319703,0.0,1.0,1.0,749.0,1.0921345000024303,-1.5331666666666677
FourRooms-7-unseen-goals,count_gated_tau_10,3,8000,-1.7365000000000013,0.0,100.0,11.786448700004255,8000,485,8.69596870004898,3.090479999955278,0.416428835826419,0.0,1.0,1.0,786.0,1.0869960875061224,-1.6112500000000012
FourRooms-7-unseen-goals,count_gated_tau_10,4,8000,-1.491500000000001,0.15,85.35,11.775946200010369,8000,485,8.643359200039413,3.132586999970954,0.4333720431078424,0.0,1.0,1.0,738.0,1.0804199000049266,-1.8295000000000012
FourRooms-7-unseen-goals,count_gated_tau_100,0,8000,-1.8810000000000013,0.0,100.0,11.864021100045647,8000,485,8.644212000072002,3.219809099973645,0.1367717183364414,0.0,1.0,1.0,708.0,1.0805265000090003,-1.8252500000000011
FourRooms-7-unseen-goals,count_gated_tau_100,1,8000,-1.681500000000001,0.05,95.05,11.9241641999688,8000,485,8.82299019995844,3.10117400001036,0.1262481716458314,0.0,1.0,1.0,756.0,1.102873774994805,-1.6534166666666676
FourRooms-7-unseen-goals,count_gated_tau_100,2,8000,-1.6410000000000011,0.05,95.25,11.714991600019856,8000,485,8.533041900023818,3.1819496999960397,0.1231081428555284,0.0,1.0,1.0,679.0,1.0666302375029773,-1.746666666666668
FourRooms-7-unseen-goals,count_gated_tau_100,3,8000,-1.841000000000001,0.0,100.0,11.972150299989153,8000,485,8.777998500037938,3.1941517999512143,0.1218361478027327,0.0,1.0,1.0,748.0,1.0972498125047423,-1.7107500000000009
FourRooms-7-unseen-goals,count_gated_tau_100,4,8000,-1.487000000000001,0.15,85.2,11.878237000026274,8000,485,8.677403500012588,3.2008335000136867,0.1404445330817713,0.0,1.0,1.0,679.0,1.0846754375015735,-1.7802500000000012
FourRooms-7-unseen-goals,count_gated_tau_20,0,8000,-1.7375000000000012,0.05,95.15,11.9350288999849,8000,485,8.785578299954068,3.149450600030832,0.2908161138169356,0.0,1.0,1.0,778.0,1.0981972874942585,-1.8015000000000012
FourRooms-7-unseen-goals,count_gated_tau_20,1,8000,-1.588000000000001,0.05,95.05,11.835789300035684,8000,485,8.709994900040329,3.125794399995357,0.3212835516672236,0.0,1.0,1.0,810.0,1.088749362505041,-1.5421666666666676
FourRooms-7-unseen-goals,count_gated_tau_20,2,8000,-1.593500000000001,0.0,100.0,11.91319759999169,8000,485,8.64187250006944,3.271325099922251,0.3147351454999109,0.0,1.0,1.0,708.0,1.08023406250868,-1.7143333333333346
FourRooms-7-unseen-goals,count_gated_tau_20,3,8000,-1.6940000000000013,0.0,100.0,11.92759550001938,8000,485,8.783481399994344,3.1441141000250354,0.325097133316074,0.0,1.0,1.0,740.0,1.097935174999293,-1.555500000000001
FourRooms-7-unseen-goals,count_gated_tau_20,4,8000,-1.2945000000000009,0.2,80.45,11.732194699987303,8000,485,8.732210299873259,2.9999844001140445,0.315444767252993,0.0,1.0,1.0,714.0,1.0915262874841574,-1.7632500000000013
FourRooms-7-unseen-goals,count_gated_tau_5,0,8000,-1.9790000000000014,0.0,100.0,11.538220099988392,8000,485,8.342347499972675,3.1958726000157185,0.5259438204703427,0.0,1.0,1.0,824.0,1.0427934374965844,-1.8247500000000012
FourRooms-7-unseen-goals,count_gated_tau_5,1,8000,-1.2440000000000009,0.15,85.3,11.413883000030182,8000,485,8.497208399989177,2.9166746000410058,0.5396279025161997,0.0,1.0,1.0,852.0,1.062151049998647,-1.3914166666666679
FourRooms-7-unseen-goals,count_gated_tau_5,2,8000,-1.887500000000001,0.0,100.0,11.772669399972074,8000,485,8.591537700034678,3.181131699937396,0.5332808442835126,0.0,1.0,1.0,799.0,1.0739422125043347,-1.6659166666666678
FourRooms-7-unseen-goals,count_gated_tau_5,3,8000,-1.883500000000001,0.0,100.0,11.9607388000004,8000,485,8.642229499993846,3.318509300006553,0.5424869526572476,0.0,1.0,1.0,780.0,1.0802786874992307,-1.8450833333333345
FourRooms-7-unseen-goals,count_gated_tau_5,4,8000,-1.545000000000001,0.1,90.25,11.767571399977896,8000,485,8.635598700027913,3.1319726999499835,0.5263425381774905,0.0,1.0,1.0,780.0,1.079449837503489,-1.6900000000000013
FourRooms-7-unseen-goals,count_gated_tau_50,0,8000,-1.933500000000001,0.0,100.0,12.035023499978706,8000,485,8.832262399955653,3.2027611000230536,0.1940249979285386,0.0,1.0,1.0,757.0,1.1040327999944566,-1.8680000000000012
FourRooms-7-unseen-goals,count_gated_tau_50,1,8000,-1.0970000000000009,0.15,85.3,11.971811299968977,8000,485,8.741847200028133,3.229964099940844,0.1989707331852982,0.0,1.0,1.0,732.0,1.0927309000035166,-1.5794166666666678
FourRooms-7-unseen-goals,count_gated_tau_50,2,8000,-1.743000000000001,0.0,100.0,11.914251200039873,8000,485,8.685585400031414,3.228665800008457,0.1907494398795364,0.0,1.0,1.0,682.0,1.0856981750039267,-1.6914166666666677
FourRooms-7-unseen-goals,count_gated_tau_50,3,8000,-1.541000000000001,0.05,95.1,12.272444400005044,8000,485,9.02233719988726,3.2501072001177818,0.2048698321184237,0.0,1.0,1.0,741.0,1.1277921499859076,-1.6789166666666675
FourRooms-7-unseen-goals,count_gated_tau_50,4,8000,-1.546500000000001,0.05,95.05,11.969970300036948,8000,485,8.778197400039062,3.1917728999978863,0.202835114260592,0.0,1.0,1.0,703.0,1.0972746750048827,-1.756666666666668
FourRooms-9-slip-unseen-goals,count_gated_tau_1,0,12000,-2.626500000000001,0.1,146.05,21.464817099971697,12000,735,13.908312499930616,7.55650460004108,0.698620323710209,0.0,1.0,1.0,1618.0,1.1590260416608846,-2.4712500000000004
FourRooms-9-slip-unseen-goals,count_gated_tau_1,1,12000,-2.2685000000000004,0.2,131.65,21.14625210000668,12000,735,14.122349299956111,7.023902800050564,0.6858008853429474,0.0,1.0,1.0,1743.0,1.1768624416630094,-2.2284500000000005
FourRooms-9-slip-unseen-goals,count_gated_tau_1,2,12000,-2.1420000000000003,0.2,137.8,21.14125659997808,12000,735,13.838329599995632,7.302926999982446,0.6801784815917978,0.0,1.0,1.0,1672.0,1.1531941333329694,-2.5022000000000006
FourRooms-9-slip-unseen-goals,count_gated_tau_1,3,12000,-1.9635000000000002,0.2,129.2,20.68972899997607,12000,735,13.789486899971962,6.900242100004107,0.6788576733810857,0.0,1.0,1.0,1663.0,1.1491239083309968,-2.1084500000000004
FourRooms-9-slip-unseen-goals,count_gated_tau_1,4,12000,-2.057000000000001,0.2,130.9,20.55927219998557,12000,735,13.520488499954809,7.038783700030763,0.6907007236977063,0.0,1.0,1.0,1619.0,1.126707374996234,-2.3874500000000007
