environment_key,environment,agent,target_type,target_definition,aggregation_level,requested_coverage,realized_coverage,retained_rows,total_rows,selective_risk,selective_risk_ci_low,selective_risk_ci_high,bootstrap_available_seed_count,source_file
independent_observation_shift,support-final-observation-shift,frozen_embedding_s1,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.5,0.5,1500,3000,0.6806666666666668,0.6459833333333331,0.7146833333333332,30,results/reviewer1_remaining/support_final/execution/independent_observation_shift/raw.csv.gz
independent_observation_shift,support-final-observation-shift,frozen_embedding_s1,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.75,0.75,2250,3000,0.6724444444444446,0.6395555555555557,0.7022222222222223,30,results/reviewer1_remaining/support_final/execution/independent_observation_shift/raw.csv.gz
independent_observation_shift,support-final-observation-shift,frozen_embedding_s1,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,1.0,1.0,3000,3000,0.6863333333333332,0.6626666666666666,0.7093333333333331,30,results/reviewer1_remaining/support_final/execution/independent_observation_shift/raw.csv.gz
independent_observation_shift,support-final-observation-shift,frozen_embedding_s1,memory_action_incorrectness_rate,memory-action incorrectness among highest-support retained episodes,mean_seed_selective_risk,0.1,0.10124873439082012,300,2963,0.6789279073071951,0.6431689865118998,0.71580193887366,30,results/reviewer1_remaining/support_final/execution/independent_observation_shift/raw.csv.gz
independent_observation_shift,support-final-observation-shift,frozen_embedding_s1,memory_action_incorrectness_rate,memory-action incorrectness among highest-support retained episodes,mean_seed_selective_risk,0.25,0.2531218359770503,750,2963,0.6965027693830473,0.6721672653789847,0.7196319527001811,30,results/reviewer1_remaining/support_final/execution/independent_observation_shift/raw.csv.gz
independent_observation_shift,support-final-observation-shift,frozen_embedding_s1,memory_action_incorrectness_rate,memory-action incorrectness among highest-support retained episodes,mean_seed_selective_risk,0.5,0.5028687141410733,1490,2963,0.7071316445107206,0.6890311455533754,0.7259427879714028,30,results/reviewer1_remaining/support_final/execution/independent_observation_shift/raw.csv.gz
independent_observation_shift,support-final-observation-shift,frozen_embedding_s1,memory_action_incorrectness_rate,memory-action incorrectness among highest-support retained episodes,mean_seed_selective_risk,0.75,0.7543030712116099,2235,2963,0.7099965621585017,0.6936148933319554,0.7268122962821305,30,results/reviewer1_remaining/support_final/execution/independent_observation_shift/raw.csv.gz
independent_observation_shift,support-final-observation-shift,frozen_embedding_s1,memory_action_incorrectness_rate,memory-action incorrectness among highest-support retained episodes,mean_seed_selective_risk,1.0,1.0,2963,2963,0.7241676039571148,0.71110806648654,0.737478170413398,30,results/reviewer1_remaining/support_final/execution/independent_observation_shift/raw.csv.gz
independent_observation_shift,support-final-observation-shift,gaussian_affinity_executed,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.1,0.1,300,3000,0.7133333333333333,0.6400000000000001,0.7799999999999999,30,results/reviewer1_remaining/support_final/execution/independent_observation_shift/raw.csv.gz
independent_observation_shift,support-final-observation-shift,gaussian_affinity_executed,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.25,0.25,750,3000,0.7146666666666667,0.6719999999999999,0.756,30,results/reviewer1_remaining/support_final/execution/independent_observation_shift/raw.csv.gz
independent_observation_shift,support-final-observation-shift,gaussian_affinity_executed,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.5,0.5,1500,3000,0.6766666666666666,0.6426666666666667,0.7086666666666664,30,results/reviewer1_remaining/support_final/execution/independent_observation_shift/raw.csv.gz
independent_observation_shift,support-final-observation-shift,gaussian_affinity_executed,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.75,0.75,2250,3000,0.6733333333333332,0.6404444444444444,0.7044444444444445,30,results/reviewer1_remaining/support_final/execution/independent_observation_shift/raw.csv.gz
independent_observation_shift,support-final-observation-shift,gaussian_affinity_executed,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,1.0,1.0,3000,3000,0.687,0.6633333333333334,0.7090000000000001,30,results/reviewer1_remaining/support_final/execution/independent_observation_shift/raw.csv.gz
independent_observation_shift,support-final-observation-shift,gaussian_affinity_executed,memory_action_incorrectness_rate,memory-action incorrectness among highest-support retained episodes,mean_seed_selective_risk,0.1,0.1009421265141319,300,2972,0.6252512882211846,0.5872132573123625,0.6620868596142245,30,results/reviewer1_remaining/support_final/execution/independent_observation_shift/raw.csv.gz
independent_observation_shift,support-final-observation-shift,gaussian_affinity_executed,memory_action_incorrectness_rate,memory-action incorrectness among highest-support retained episodes,mean_seed_selective_risk,0.25,0.2520188425302826,749,2972,0.6623442365766259,0.6305759549692936,0.6959733038463376,30,results/reviewer1_remaining/support_final/execution/independent_observation_shift/raw.csv.gz
