algorithm,environment,training_seed,condition,mean_return,median_return,cvar10_return,decision_weighted_support_coverage,episode_mean_support_coverage,exact_recurrence_rate_episode_mean,unhealthy_termination_rate,truncation_rate,mean_critic_gap,mean_tqc_quantile_iqr,final_eval_episodes,final_eval_decisions
SAC,Walker2d-v5,22002,ACT_GAIN_075,569.418492778364,599.6338708672961,200.84350722988768,0.9973913043478261,0.994205343042639,0.0,1.0,0.0,1.2384281057320057,,30,8050
SAC,Walker2d-v5,22002,COMBINED_DELAY_GAIN,530.7159868369506,478.579310255784,378.2509657961307,0.9944595072497937,0.9935774552700238,0.0,0.9666666666666667,0.03333333333333333,1.1820414111884032,,30,8483
SAC,Walker2d-v5,22002,NOMINAL,1174.927331208043,1130.7788318502462,603.6335176625054,0.9827727645611156,0.9854892440942905,0.0,0.9666666666666667,0.03333333333333333,1.128188184414704,,30,15847
SAC,Walker2d-v5,22002,OBS_DELAY_1,556.1630332655598,476.5583066745183,1.433654830180097,0.8810356231692337,0.7429036867260124,0.0,0.9333333333333333,0.06666666666666667,3.080916687529461,,30,10583
SAC,Walker2d-v5,22003,ACT_GAIN_075,525.3228236426814,571.652245683034,225.2473608309032,0.9462537007515373,0.9288713206090975,0.0,0.9666666666666667,0.03333333333333333,2.375651213265938,,30,8782
SAC,Walker2d-v5,22003,COMBINED_DELAY_GAIN,496.12227382796794,582.0533328247425,105.62453693326972,0.8891126494650724,0.8644512381085612,0.0,1.0,0.0,2.672237118280156,,30,7945
SAC,Walker2d-v5,22003,NOMINAL,599.8978404590514,557.515853446372,66.88705988777753,0.7761159420289855,0.7321826613377997,0.0,1.0,0.0,3.981602243060115,,30,8625
SAC,Walker2d-v5,22003,OBS_DELAY_1,405.12820109744587,209.4903086068029,46.66257023118451,0.7591810204744881,0.7127681277286092,0.0,1.0,0.0,3.8602596771507214,,30,6154
SAC,Walker2d-v5,22004,ACT_GAIN_075,604.2767013638169,610.6605508373482,543.1020980282733,1.0,1.0,0.0,1.0,0.0,0.8196307851951652,,30,7644
SAC,Walker2d-v5,22004,COMBINED_DELAY_GAIN,470.51736286644615,449.9996889104496,379.084127623127,0.9874894336432798,0.9893101770157384,0.0,1.0,0.0,1.3362381756535444,,30,5915
SAC,Walker2d-v5,22004,NOMINAL,796.146774985705,825.505487621672,608.3425331786269,0.9986109627096912,0.9987164294963609,0.0,1.0,0.0,1.1157891647126057,,30,9359
SAC,Walker2d-v5,22004,OBS_DELAY_1,575.3666453577368,592.1792455637242,333.1353274069074,0.9796728600921073,0.9760467756464557,0.0,1.0,0.0,1.6900042122989154,,30,6297
TQC,HalfCheetah-v5,22000,ACT_GAIN_075,2738.212687694454,2741.6232772623816,2654.4449153202036,1.0,1.0,0.0,,1.0,1.225434336344401,5.660542053222656,30,30000
TQC,HalfCheetah-v5,22000,COMBINED_DELAY_GAIN,1084.3074121139582,1090.9612139288338,817.0352317143698,0.9814333333333334,0.9814333333333333,0.0,,1.0,1.9906121355692545,6.916654957453411,30,30000
TQC,HalfCheetah-v5,22000,NOMINAL,4519.757079509433,4563.681901555745,4000.4841978078316,0.9930333333333333,0.9930333333333333,0.0,,1.0,0.968926425298055,6.145101184209188,30,30000
TQC,HalfCheetah-v5,22000,OBS_DELAY_1,322.7914658568073,223.37265940390824,-94.37410975067996,0.7162,0.7162000000000001,0.0,,1.0,3.1777510248422627,8.116806084314984,30,30000
TQC,HalfCheetah-v5,22001,ACT_GAIN_075,3043.4372122266223,3050.9377655542203,2973.9093685954554,0.9999666666666667,0.9999666666666668,0.0,,1.0,0.9670853068033853,5.002959869384765,30,30000
TQC,HalfCheetah-v5,22001,COMBINED_DELAY_GAIN,959.8262339978688,976.6063284523835,835.6226066114901,0.9988333333333334,0.9988333333333332,0.0,,1.0,1.641330871582031,6.236368448893231,30,30000
