report_family,evidence_class,primary_confirmatory,environment_or_severity,contrast_name,left,right,metric,n_pairs,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,wins,losses,ties,raw_paired_t_p,report_holm_paired_t_p,global_holm_paired_t_p,raw_wilcoxon_p,report_holm_wilcoxon_p,global_holm_wilcoxon_p,source_file,source_row
confirmatory_extended_compact.planned,confirmatory,True,CliffWalking-v1,count_vs_tabular,count_gated_tau_20,tabular,return_auc,30,29.690555555555548,0.0,-34.71625462962962,98.1568148148148,0.1592100097503454,0.2533333333333333,13,11,6,0.3903552629247797,1.0,1.0,0.2712792188694803,1.0,1.0,results/confirmatory_extended_compact/planned_contrasts.csv,9
confirmatory_extended_compact.planned,confirmatory,True,CliffWalking-v1,count_vs_validated_dqn,count_gated_tau_20,validated_dqn,return_auc,30,143.3277777777778,81.16666666666669,113.61111111111111,173.08888888888893,1.699563477252061,1.0,29,0,1,3.2656346575050757e-10,6.5312693150101514e-09,1.9593807945030455e-08,1.312743262007031e-06,2.625486524014062e-05,8.007733898242889e-05,results/confirmatory_extended_compact/planned_contrasts.csv,2
confirmatory_extended_compact.planned,confirmatory,True,CliffWalking-v1,support_abstain_vs_count,support_abstain_tau_20,count_gated_tau_20,return_auc,30,-24.916666666666668,0.0,-96.14027777777778,26.80027777777777,-0.1431728613041864,-0.219047619047619,5,9,16,0.4392873826472565,1.0,1.0,0.4675835353882523,1.0,1.0,results/confirmatory_extended_compact/planned_contrasts.csv,23
confirmatory_extended_compact.planned,confirmatory,True,FourRooms-11-slip-unseen-goals,count_vs_fixed,count_gated_tau_20,fixed_hybrid,return_auc,30,0.0305888888888888,0.0159197530864194,-0.030243755144033,0.0925376748971192,0.1749987417779265,0.1741935483870967,18,12,0,0.3457303674288959,1.0,1.0,0.4161298982799053,1.0,1.0,results/confirmatory_extended_compact/planned_contrasts.csv,17
confirmatory_extended_compact.planned,confirmatory,True,FourRooms-11-slip-unseen-goals,count_vs_tabular,count_gated_tau_20,tabular,return_auc,30,-1.5837512345679026,-1.565302469135804,-1.6383263786008246,-1.5297963940329231,-10.353214533900507,-1.0,0,30,0,2.89478566117637e-31,8.105399851293836e-30,2.2579328157175687e-29,1.862645149230957e-09,5.21540641784668e-08,1.471489667892456e-07,results/confirmatory_extended_compact/planned_contrasts.csv,10
confirmatory_extended_compact.planned,confirmatory,True,FourRooms-11-slip-unseen-goals,count_vs_validated_dqn,count_gated_tau_20,validated_dqn,return_auc,30,0.0646652263374485,0.0761574074074074,0.0117632664609052,0.1167823508230455,0.4360910526548657,0.4365591397849462,20,10,0,0.0236434256100534,0.3546513841508014,1.0,0.0364349968731403,0.5100899562239647,1.0,results/confirmatory_extended_compact/planned_contrasts.csv,3
confirmatory_extended_compact.planned,confirmatory,True,FourRooms-11-slip-unseen-goals,support_abstain_vs_count,support_abstain_tau_20,count_gated_tau_20,return_auc,30,1.56117510288066,1.558030864197533,1.5056402417695491,1.619581666666668,9.574694477758422,1.0,30,0,0,2.7350414031327164e-30,7.384611788458334e-29,2.1059818804121914e-28,1.862645149230957e-09,5.21540641784668e-08,1.471489667892456e-07,results/confirmatory_extended_compact/planned_contrasts.csv,24
confirmatory_extended_compact.planned,confirmatory,True,FourRooms-7-unseen-goals,count_vs_fixed,count_gated_tau_20,fixed_hybrid,return_auc,30,0.0017479797979797,-0.0157348484848486,-0.0315102651515152,0.0352380808080807,0.0183762325968384,-0.0150537634408602,14,16,0,0.9205203329396726,1.0,1.0,0.9515264742076396,1.0,1.0,results/confirmatory_extended_compact/planned_contrasts.csv,18
confirmatory_extended_compact.planned,confirmatory,True,FourRooms-7-unseen-goals,count_vs_tabular,count_gated_tau_20,tabular,return_auc,30,-1.148694444444445,-1.1399621212121218,-1.1974941161616166,-1.1026072727272729,-8.471804648401456,-1.0,0,30,0,9.13430466946308e-29,2.3749192140604006e-27,6.850728502097309e-27,1.862645149230957e-09,5.21540641784668e-08,1.471489667892456e-07,results/confirmatory_extended_compact/planned_contrasts.csv,11
confirmatory_extended_compact.planned,confirmatory,True,FourRooms-7-unseen-goals,count_vs_validated_dqn,count_gated_tau_20,validated_dqn,return_auc,30,-0.0193444444444444,-0.0313257575757576,-0.0515536363636363,0.0144419696969697,-0.2029359710865218,-0.2731182795698925,12,18,0,0.2754724513556493,1.0,1.0,0.1980757992714643,1.0,1.0,results/confirmatory_extended_compact/planned_contrasts.csv,4
