result_family,environment,agent,seed_n_finite_returns,seed_minimum_return,seed_return_quantile_0_05,seed_worst_decile_mean_return,seed_cvar_0_10_return,seed_cvar_0_05_return,episode_n_finite_returns,episode_minimum_return,episode_return_quantile_0_05,episode_worst_decile_mean_return,episode_cvar_0_10_return,episode_cvar_0_05_return,worst_checkpoint,worst_checkpoint_return,maximum_learning_curve_drawdown,seed_failure_probability,seed_collision_rate,seed_risk_zone_rate,seed_motor_saturation_rate,seed_source_file,episode_source_file,checkpoint_source_file
confirmatory_extended_compact,FourRooms-7-unseen-goals,support_abstain_tau_20,30,-0.829,-0.791466666667,-0.803222222222,-0.803222222222,-0.815333333333,900,-1.48,-1.38,-1.38344444444,-1.38344444444,-1.40155555556,2500,-0.5606,0.0465777777778,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,FourRooms-7-unseen-goals,tabular,30,-0.932333333333,-0.746533333333,-0.808333333333,-0.808333333333,-0.840333333333,900,-1.45,-1.38,-1.38666666667,-1.38666666667,-1.40422222222,2500,-0.558211111111,0.00114444444444,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,FourRooms-7-unseen-goals,validated_dqn,30,-1.94933333333,-1.91923333333,-1.92911111111,-1.92911111111,-1.93533333333,900,-2,-2,-2,-2,-2,2500,-1.72113333333,0,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,FourRooms-9-slip-unseen-goals,count_gated_tau_20,30,-2.96066666667,-2.74006666667,-2.808,-2.808,-2.88816666667,900,-3.18,-3.0905,-3.09733333333,-3.09733333333,-3.11288888889,2500,-2.47433333333,0,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,FourRooms-9-slip-unseen-goals,fixed_hybrid,30,-2.62866666667,-2.53318333333,-2.563,-2.563,-2.5945,900,-3.19,-3.09,-3.09666666667,-3.09666666667,-3.11222222222,2500,-2.47703333333,0,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,FourRooms-9-slip-unseen-goals,random,30,-1.565,-1.48048333333,-1.50844444444,-1.50844444444,-1.52416666667,900,-2.19,-2.07,-2.083,-2.083,-2.10844444444,2500,-1.12407777778,0.0381333333333,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,FourRooms-9-slip-unseen-goals,reliability_gated,30,-2.73333333333,-2.5057,-2.58044444444,-2.58044444444,-2.62716666667,900,-3.18,-3.09,-3.09466666667,-3.09466666667,-3.10977777778,2500,-2.47685555556,0.0330666666667,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,FourRooms-9-slip-unseen-goals,support_abstain_tau_20,30,-1.522,-1.20365,-1.309,-1.309,-1.368,900,-2.21,-2.07,-2.08166666667,-2.08166666667,-2.10888888889,2500,-1.04203333333,0.0180666666667,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,FourRooms-9-slip-unseen-goals,tabular,30,-1.38566666667,-1.34158333333,-1.35622222222,-1.35622222222,-1.364,900,-2.2,-2.07,-2.08033333333,-2.08033333333,-2.108,2500,-1.07484444444,0.0685555555556,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,FourRooms-9-slip-unseen-goals,validated_dqn,30,-2.88766666667,-2.78095,-2.81244444444,-2.81244444444,-2.86183333333,900,-3.18,-3.09,-3.09233333333,-3.09233333333,-3.10844444444,5000,-2.44788888889,0.0627555555556,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,FrozenLake-4x4-slippery,count_gated_tau_20,30,0.266666666667,0.345,0.322222222222,0.322222222222,0.283333333333,900,0,0,0,0,0,2500,0.253333333333,0,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,FrozenLake-4x4-slippery,fixed_hybrid,30,0.4,0.466666666667,0.444444444444,0.444444444444,0.433333333333,900,0,0,0,0,0,2500,0.237777777778,0,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,FrozenLake-4x4-slippery,random,30,0,0,0,0,0,900,0,0,0,0,0,7500,0.00666666666667,0.0122222222222,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,FrozenLake-4x4-slippery,reliability_gated,30,0,0.105,0.0777777777778,0.0777777777778,0,900,0,0,0,0,0,2500,0.2,0,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,FrozenLake-4x4-slippery,support_abstain_tau_20,30,0.266666666667,0.345,0.322222222222,0.322222222222,0.283333333333,900,0,0,0,0,0,2500,0.253333333333,0,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
confirmatory_extended_compact,FrozenLake-4x4-slippery,tabular,30,0.466666666667,0.533333333333,0.511111111111,0.511111111111,0.5,900,0,0,0,0,0,2500,0.231111111111,0,,,,,results/confirmatory_extended_compact/seed_metrics.csv,results/confirmatory_extended_compact/raw.csv.gz,results/confirmatory_extended_compact/raw.csv.gz
