environment,agent,metric,n_seeds,mean,std,median,q25,q75,t_ci_low,t_ci_high,bootstrap_ci_low,bootstrap_ci_high,method
ApplicationNavigation-deployment-goal-shift,knn_support_gate,success_rate,30,0.3466666666666667,0.10598922810878372,0.3333333333333333,0.2666666666666666,0.4,0.30708963846059273,0.38624369487274063,0.31,0.3844444444444445,kNN support gate
ApplicationNavigation-deployment-goal-shift,knn_support_gate,return_auc,30,-3.1903799999999993,1.2742447833071322,-2.939366666666666,-3.773258333333333,-2.2522666666666664,-3.666190821818878,-2.7145691781811205,-3.6561945,-2.7613054444444445,kNN support gate
ApplicationNavigation-deployment-goal-shift,knn_support_gate,collision_rate,30,0.13354563498399,0.09743478599965905,0.12152777777777775,0.05572303921568623,0.18984913263551031,0.0971628879580051,0.1699283820099749,0.10013379436332526,0.16930820210963482,kNN support gate
ApplicationNavigation-deployment-goal-shift,knn_support_gate,unsupported_state_ratio,30,0.3927015669515669,0.09718654068805681,0.4,0.30833333333333335,0.4666666666666667,0.3564115162483557,0.42899161765477806,0.35890740740740745,0.4271367521367522,kNN support gate
ApplicationNavigation-deployment-goal-shift,knn_support_gate,abstention_ratio,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kNN support gate
ApplicationNavigation-deployment-goal-shift,support_abstain_tau_20,success_rate,30,0.5444444444444444,0.13052600138300813,0.5333333333333333,0.44166666666666665,0.6583333333333333,0.4957052345215329,0.5931836543673559,0.4977777777777777,0.5888888888888889,Exact support abstention
ApplicationNavigation-deployment-goal-shift,support_abstain_tau_20,return_auc,30,-0.880953333333334,0.6547446234105765,-0.985300000000001,-1.3082666666666674,-0.5840666666666676,-1.1254389937242144,-0.6364676729424535,-1.1081003611111118,-0.6486713611111118,Exact support abstention
ApplicationNavigation-deployment-goal-shift,support_abstain_tau_20,collision_rate,30,0.006705816921472876,0.006126072680786824,0.0047988276595354,0.003446969696969625,0.007493686868686775,0.004418303788240931,0.008993330054704821,0.004909876542279386,0.009139822747602423,Exact support abstention
ApplicationNavigation-deployment-goal-shift,support_abstain_tau_20,unsupported_state_ratio,30,0.3922222222222222,0.09695886607921186,0.4,0.30833333333333335,0.4666666666666667,0.3560171866151377,0.4284272578293067,0.35888888888888887,0.4266666666666667,Exact support abstention
ApplicationNavigation-deployment-goal-shift,support_abstain_tau_20,abstention_ratio,30,0.3922222222222222,0.09695886607921186,0.4,0.30833333333333335,0.4666666666666667,0.3560171866151377,0.4284272578293067,0.35888888888888887,0.4266666666666667,Exact support abstention
ApplicationNavigation-deployment-goal-shift,tabular,success_rate,30,0.7511111111111111,0.09169887974569585,0.7666666666666667,0.7,0.8333333333333334,0.7168701866802252,0.785352035541997,0.7188888888888888,0.7822222222222223,Tabular Q
ApplicationNavigation-deployment-goal-shift,tabular,return_auc,30,-1.1021955555555503,0.6306816430224252,-1.0907666666666613,-1.5977583333333278,-0.6169333333333289,-1.3376959514008053,-0.8666951597102953,-1.32583805555555,-0.890959749999995,Tabular Q
ApplicationNavigation-deployment-goal-shift,tabular,collision_rate,30,0.06955179833367316,0.018307639431585775,0.07303720352288459,0.05582115958059255,0.08512878519079048,0.06271561342036445,0.07638798324698186,0.06320657847488527,0.07597822047433718,Tabular Q
ApplicationNavigation-deployment-goal-shift,tabular,unsupported_state_ratio,30,0.3922222222222222,0.09695886607921186,0.4,0.30833333333333335,0.4666666666666667,0.3560171866151377,0.4284272578293067,0.35888888888888887,0.4266666666666667,Tabular Q
ApplicationNavigation-deployment-goal-shift,tabular,abstention_ratio,30,0.3922222222222222,0.09695886607921186,0.4,0.30833333333333335,0.4666666666666667,0.3560171866151377,0.4284272578293067,0.35888888888888887,0.4266666666666667,Tabular Q
