environment_key,environment,agent,n_seeds,mean_normalized_return_auc,median_normalized_return_auc,bootstrap_ci_low,bootstrap_ci_high,seed_level_minimum_return_auc,seed_level_q05_return_auc,seed_level_worst_decile_mean_return_auc,seed_level_cvar_0_10_return_auc,seed_level_cvar_0_05_return_auc,episode_level_n,episode_level_cvar_0_10_return,episode_level_cvar_0_05_return,mean_success_auc,mean_failure_probability,mean_collision_rate,mean_risk_zone_rate,mean_support_score,mean_support_query_latency_seconds,mean_support_memory_bytes,source_file,environment_rank
independent_observation_shift,support-final-observation-shift,exact_count_gate,30,-2.1442479166666675,-2.1801250000000003,-2.2193648437500006,-2.059424322916667,-2.490875000000001,-2.4210500000000006,-2.444208333333334,-2.444208333333334,-2.4567500000000004,3000,-3.100300000000001,-3.1176000000000013,0.195625,0.8076666666666665,0.0,0.0,0.0,1.3910666666666667e-05,48153.6,results/diagnostic_extensions/support_final/execution/independent_observation_shift/raw.csv.gz,8.5
independent_transition_dynamics_shift,support-final-transition-dynamics-shift,tolerance_knn_executed,30,-0.93866875,-0.934625,-1.0350955729166667,-0.8462622916666666,-1.5350625,-1.38024375,-1.4300625,-1.4300625,-1.46971875,3000,-2.7283666666666657,-2.7661999999999995,0.5014583333333333,0.49633333333333324,0.0,0.0,0.6713813420191979,0.006227379333333333,33700.8,results/diagnostic_extensions/support_final/execution/independent_transition_dynamics_shift/raw.csv.gz,1.0
independent_transition_dynamics_shift,support-final-transition-dynamics-shift,gaussian_affinity_executed,30,-0.9679020833333333,-0.9979687500000001,-1.0575626041666668,-0.8769536458333335,-1.4235,-1.3352843749999999,-1.3613124999999997,-1.3613124999999997,-1.4021875,3000,-2.7367999999999997,-2.7755999999999994,0.49604166666666666,0.5026666666666667,0.0,0.0,0.6738250385722219,0.006952242666666665,33908.26666666667,results/diagnostic_extensions/support_final/execution/independent_transition_dynamics_shift/raw.csv.gz,2.0
independent_transition_dynamics_shift,support-final-transition-dynamics-shift,raw_normalized_s1,30,-0.9785770833333333,-1.00425,-1.0801625520833331,-0.8755379166666668,-1.5548125,-1.450778125,-1.4822499999999998,-1.4822499999999998,-1.5244375,3000,-2.729299999999999,-2.767066666666666,0.490625,0.51,0.0,0.0,0.7200462997535557,0.005711252,34752.53333333333,results/diagnostic_extensions/support_final/execution/independent_transition_dynamics_shift/raw.csv.gz,3.0
independent_transition_dynamics_shift,support-final-transition-dynamics-shift,frozen_embedding_s1,30,-1.0094,-1.068375,-1.0985390104166666,-0.9146675520833333,-1.42975,-1.3240875,-1.3590833333333334,-1.3590833333333334,-1.3784375,3000,-2.733166666666666,-2.7713333333333328,0.48250000000000004,0.518,0.0,0.0,0.7278455802276204,0.008512737999999999,1433462.4,results/diagnostic_extensions/support_final/execution/independent_transition_dynamics_shift/raw.csv.gz,4.0
independent_transition_dynamics_shift,support-final-transition-dynamics-shift,mahalanobis_s1,30,-1.0504270833333331,-1.044875,-1.1314531770833332,-0.9669334375,-1.5409374999999996,-1.4134249999999997,-1.4550624999999997,-1.4550624999999997,-1.4830312499999998,3000,-2.735299999999999,-2.7720666666666665,0.47375000000000006,0.5273333333333333,0.0,0.0,0.4760221917896797,0.006447812666666667,34465.066666666666,results/diagnostic_extensions/support_final/execution/independent_transition_dynamics_shift/raw.csv.gz,5.0
independent_transition_dynamics_shift,support-final-transition-dynamics-shift,tabular,30,-1.123402083333334,-1.1441250000000007,-1.167113177083334,-1.076699583333334,-1.340125000000001,-1.2857343750000005,-1.3023125000000007,-1.3023125000000007,-1.3234062500000008,3000,-2.278599999999999,-2.3793333333333324,0.3825,0.6206666666666668,0.0,0.0,0.4327580569303137,,,results/diagnostic_extensions/support_final/execution/independent_transition_dynamics_shift/raw.csv.gz,6.0
independent_transition_dynamics_shift,support-final-transition-dynamics-shift,dqn,30,-1.3924750000000001,-1.39975,-1.4536254687499999,-1.3244189062500002,-1.7711874999999997,-1.6648937499999996,-1.6971041666666664,-1.6971041666666664,-1.7397812499999996,3000,-2.7575,-2.7900666666666667,0.37333333333333324,0.6313333333333333,0.0,0.0,0.0,,,results/diagnostic_extensions/support_final/execution/independent_transition_dynamics_shift/raw.csv.gz,7.5
independent_transition_dynamics_shift,support-final-transition-dynamics-shift,exact_count_gate,30,-1.3924750000000001,-1.39975,-1.4536254687499999,-1.3244189062500002,-1.7711874999999997,-1.6648937499999996,-1.6971041666666664,-1.6971041666666664,-1.7397812499999996,3000,-2.7575,-2.7900666666666667,0.37333333333333324,0.6313333333333333,0.0,0.0,0.0,1.6646666666666664e-05,46938.4,results/diagnostic_extensions/support_final/execution/independent_transition_dynamics_shift/raw.csv.gz,7.5
independent_transition_dynamics_shift,support-final-transition-dynamics-shift,gaussian_density_s3,30,-1.429939583333333,-1.4525625,-1.4892768749999994,-1.3640515625,-1.7429999999999992,-1.6481562499999998,-1.6772916666666662,-1.6772916666666662,-1.7123124999999995,3000,-2.7110999999999996,-2.751666666666666,0.3525,0.645,0.0,0.0,0.9551141301165821,0.0065322900000000005,31073.066666666666,results/diagnostic_extensions/support_final/execution/independent_transition_dynamics_shift/raw.csv.gz,9.0
