environment,agent,seed,checkpoint,mean_return,success_rate,mean_length,elapsed_seconds,environment_steps,gradient_updates,training_elapsed_seconds,evaluation_elapsed_seconds,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,seconds_per_1000_steps,return_auc
MiniGrid-Empty-5x5,reliability_gated,203,20000,0.0,0.0,100.0,51.57574589998694,20000,1235,39.06850380008109,12.507242099905852,0.4419947500947754,,0.0034723023,0.0024071082549646,32.0,1.9534251900040545,0.0
MiniGrid-Empty-5x5,reliability_gated,204,20000,0.955,1.0,5.0,45.28866880002897,20000,1235,38.48651120014256,6.802157599886414,0.4256351432139357,,0.0051522967,0.029587016173365,32.0,1.9243255600071278,0.31833333333333336
MiniGrid-Empty-5x5,reliability_gated,205,20000,0.0,0.0,100.0,50.803962200006936,20000,1235,38.37812599999597,12.425836200010965,0.4197809001747353,,0.0002942792,0.0002202007426735,32.0,1.9189062999997986,0.0
MiniGrid-Empty-5x5,reliability_gated,206,20000,0.0,0.0,100.0,50.72083780000685,20000,1235,38.344264100072905,12.376573699933942,0.4030942907268015,,0.002929573,0.0018529922893793,32.0,1.9172132050036452,0.0
MiniGrid-Empty-5x5,reliability_gated,207,20000,0.0,0.0,100.0,50.64987439999823,20000,1235,38.409108800056856,12.24076559994137,0.3147185277622054,,0.009359277,0.0019265814429543,32.0,1.9204554400028429,0.0
MiniGrid-Empty-5x5,reliability_gated,208,20000,0.955,1.0,5.0,47.23169129999587,20000,1235,37.83605790004367,9.395633399952205,0.4032901703624149,,0.00046473125,0.0023010783955945,32.0,1.8918028950021835,0.15916666666666668
MiniGrid-Empty-5x5,reliability_gated,209,20000,0.0,0.0,100.0,51.28328139998485,20000,1235,38.74039150000317,12.542889899981674,0.3869806437875,,0.003053256,0.0033014760759074,32.0,1.9370195750001584,0.0
MiniGrid-Empty-5x5,tabular,200,20000,0.0,0.0,100.0,16.780766999989282,20000,0,11.663469699968118,5.117297300021164,,,,,,0.5831734849984059,0.15916666666666668
MiniGrid-Empty-5x5,tabular,201,20000,0.946,1.0,6.0,14.942278100003024,20000,0,11.587900599872228,3.354377500130795,,,,,,0.5793950299936114,0.31683333333333336
MiniGrid-Empty-5x5,tabular,202,20000,0.946,1.0,6.0,15.231751399987845,20000,0,11.8397188000381,3.392032599949744,,,,,,0.591985940001905,0.31683333333333336
MiniGrid-Empty-5x5,tabular,203,20000,0.955,1.0,5.0,15.774167699972168,20000,0,12.128114299965093,3.646053400007077,,,,,,0.6064057149982547,0.4775
MiniGrid-Empty-5x5,tabular,204,20000,0.0,0.0,100.0,18.79492190002929,20000,0,11.733357400051318,7.061564499977976,,,,,,0.5866678700025659,0.0
MiniGrid-Empty-5x5,tabular,205,20000,0.0,0.0,100.0,17.647949299949687,20000,0,12.142304499924649,5.505644800025038,,,,,,0.6071152249962324,0.15916666666666668
MiniGrid-Empty-5x5,tabular,206,20000,0.946,1.0,6.0,17.067467599990778,20000,0,11.8394760999945,5.227991499996278,,,,,,0.591973804999725,0.15766666666666668
MiniGrid-Empty-5x5,tabular,207,20000,0.0,0.0,100.0,18.588290799991228,20000,0,12.0468913000077,6.541399499983527,,,,,,0.6023445650003849,0.0
MiniGrid-Empty-5x5,tabular,208,20000,0.955,1.0,5.0,16.306430700002238,20000,0,12.143880299932787,4.162550400069449,,,,,,0.6071940149966394,0.4775
MiniGrid-Empty-5x5,tabular,209,20000,0.0,0.0,100.0,18.667923000000883,20000,0,11.621316600008868,7.046606399992015,,,,,,0.5810658300004434,0.0
