environment,agent,seed,phase,checkpoint,episode,trace_steps,initial_trajectory_error,trajectory_error_mean,trajectory_error_min,trajectory_error_max,trajectory_error_final,recovery_event_count,recovery_event_occurred,constraint_steps,constraint_duration_seconds,saturation_steps,saturation_duration_seconds,target_visibility_fraction,target_visible_any,target_visible_all,episode_success,failure_stage,source_file
combined_executed_condition,feed_forward_dqn,16005,eval,240,1,30,0.8544342639926843,0.8675952096780141,0.8540695309638977,0.8995785117149353,0.8995785117149353,0,0,15,0.25,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16005,eval,240,2,30,0.8375322442624676,0.8638498147328695,0.837554395198822,0.9267513751983644,0.9267513751983644,0,0,30,0.5,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16005,eval,240,3,30,0.8815110858695516,0.9003893037637075,0.8815385103225708,0.95320463180542,0.95320463180542,0,0,11,0.18333333333333332,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16005,eval,240,4,30,0.8343219817399622,0.8537593603134155,0.8343545794487,0.893412709236145,0.893412709236145,0,0,22,0.36666666666666664,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16006,eval,120,1,30,0.8552421005911185,0.8564970215161641,0.8552379012107849,0.8577188849449158,0.8575854897499084,0,0,0,0.0,0,0.0,0.36666666666666664,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16006,eval,120,2,30,0.8212260867998729,0.813938440879186,0.8003607392311096,0.8212205767631531,0.8003607392311096,1,1,26,0.43333333333333335,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16006,eval,120,3,30,0.8727047187591361,0.8624830424785614,0.8377279043197632,0.8729650378227234,0.8377279043197632,1,1,12,0.2,0,0.0,0.9,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16006,eval,120,4,30,0.8423462405331391,0.8469955285390218,0.8421973586082458,0.8654928207397461,0.8654928207397461,0,0,0,0.0,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16006,eval,240,1,30,0.8422782919345039,0.8352747897307078,0.8176448345184326,0.8424856662750244,0.8176448345184326,0,0,30,0.5,0,0.0,0.06666666666666667,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16006,eval,240,2,30,0.8719389749882152,0.8596790830294291,0.8328111171722412,0.8720457553863525,0.8328111171722412,0,0,30,0.5,0,0.0,0.5666666666666667,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
